iter	Accuracy	Logloss
0	0.8503401361	0.6659720762
1	0.8639455782	0.6413640412
2	0.8775510204	0.61630068
3	0.8870748299	0.5925961955
4	0.8829931973	0.572742553
5	0.8884353741	0.5517860894
6	0.8897959184	0.538056147
7	0.8884353741	0.5219757166
8	0.8897959184	0.5050756251
9	0.8925170068	0.491520322
10	0.893877551	0.477213777
11	0.8857142857	0.4711835362
12	0.8843537415	0.461887959
13	0.8911564626	0.4493964606
14	0.8857142857	0.4398098381
15	0.8897959184	0.4304045144
16	0.8897959184	0.4198077504
17	0.8897959184	0.4122184601
18	0.893877551	0.4047018019
19	0.8952380952	0.3964989838
20	0.893877551	0.3898793827
21	0.8911564626	0.3876681183
22	0.8925170068	0.3803902039
23	0.8965986395	0.3751618816
24	0.8965986395	0.371094822
25	0.8965986395	0.3646975546
26	0.8965986395	0.3609253747
27	0.8979591837	0.355058002
28	0.8965986395	0.349983565
29	0.8965986395	0.3452071728
30	0.8965986395	0.3406929211
31	0.8965986395	0.3371823479
32	0.8965986395	0.3333867912
33	0.9020408163	0.3280830838
34	0.8979591837	0.3241837854
35	0.9006802721	0.3232008094
36	0.8993197279	0.3197624213
37	0.8979591837	0.3177731461
38	0.8993197279	0.3141745919
39	0.8993197279	0.3106053853
40	0.8979591837	0.3100737948
41	0.9006802721	0.3075518663
42	0.9006802721	0.3043810085
43	0.9006802721	0.3025348687
44	0.9006802721	0.2997818358
45	0.9034013605	0.2974240009
46	0.9034013605	0.2952480381
47	0.9047619048	0.2930553755
48	0.9047619048	0.291080776
49	0.906122449	0.2879779146
50	0.906122449	0.2859171075
51	0.906122449	0.2827591868
52	0.906122449	0.280434961
53	0.9088435374	0.277787684
54	0.9088435374	0.2762218772
55	0.9088435374	0.274414744
56	0.9088435374	0.272281367
57	0.9088435374	0.2708121558
58	0.9088435374	0.2696562384
59	0.9088435374	0.2683744823
60	0.9088435374	0.2672778264
61	0.9102040816	0.2660616796
62	0.9102040816	0.2643813478
63	0.9115646259	0.2632909791
64	0.9129251701	0.2622598957
65	0.9129251701	0.2609449783
66	0.9129251701	0.2597328464
67	0.9142857143	0.2578018442
68	0.9142857143	0.2562411886
69	0.9142857143	0.2544928935
70	0.9142857143	0.2531926552
71	0.9156462585	0.251645936
72	0.9170068027	0.2502312458
73	0.9170068027	0.2493027263
74	0.9170068027	0.2483626047
75	0.9197278912	0.2473205826
76	0.9210884354	0.24607959
77	0.9210884354	0.245967339
78	0.9224489796	0.2447055082
79	0.9210884354	0.2434760572
80	0.9210884354	0.2428131723
81	0.9224489796	0.2416671192
82	0.9224489796	0.2408118806
83	0.9224489796	0.2393328778
84	0.9224489796	0.2381886881
85	0.925170068	0.2369936254
86	0.925170068	0.2362855053
87	0.925170068	0.2354874772
88	0.9238095238	0.234993185
89	0.9238095238	0.2342097551
90	0.9238095238	0.2336855194
91	0.9238095238	0.2333851172
92	0.9238095238	0.2330347698
93	0.9238095238	0.2322637601
94	0.9238095238	0.2314028213
95	0.9224489796	0.2309147541
96	0.925170068	0.2300874625
97	0.9265306122	0.2295444382
98	0.9238095238	0.2285091373
99	0.9265306122	0.2279817303
100	0.925170068	0.2263937477
101	0.9265306122	0.2255326602
102	0.9278911565	0.2243971928
103	0.9278911565	0.2241263328
104	0.9278911565	0.2239859267
105	0.9278911565	0.2235697486
106	0.9278911565	0.2228837974
107	0.9278911565	0.2224359111
108	0.9292517007	0.2216013159
109	0.9292517007	0.2211541985
110	0.9292517007	0.221019398
111	0.9292517007	0.2203079921
112	0.9292517007	0.219664737
113	0.9292517007	0.21893762
114	0.9292517007	0.2184808966
115	0.9292517007	0.2174521953
116	0.9292517007	0.2161813278
117	0.9292517007	0.215486374
118	0.9292517007	0.214675912
119	0.9292517007	0.2142008374
120	0.9292517007	0.2136320969
121	0.9292517007	0.212688509
122	0.9292517007	0.2119173697
123	0.9292517007	0.2112516452
124	0.9292517007	0.2109678029
125	0.9319727891	0.2099262849
126	0.9319727891	0.2093352915
127	0.9306122449	0.208445583
128	0.9319727891	0.2078961673
129	0.9319727891	0.2077339951
130	0.9319727891	0.2075724214
131	0.9319727891	0.207444971
132	0.9319727891	0.2069630338
133	0.9319727891	0.2064992792
134	0.9319727891	0.2059528425
135	0.9319727891	0.2056716994
136	0.9319727891	0.2052126341
137	0.9319727891	0.2048658599
138	0.9319727891	0.2040666166
139	0.9333333333	0.2037033085
140	0.9333333333	0.2034350623
141	0.9333333333	0.2031569993
142	0.9333333333	0.2029611346
143	0.9333333333	0.2017504815
144	0.9333333333	0.2011243753
145	0.9333333333	0.2009873731
146	0.9346938776	0.2007980001
147	0.9346938776	0.1997189511
148	0.9346938776	0.1993718185
149	0.9333333333	0.1991557148
150	0.9333333333	0.1983474923
151	0.9360544218	0.197205559
152	0.9360544218	0.1970534998
153	0.9360544218	0.1968068653
154	0.9360544218	0.1960517099
155	0.9360544218	0.1957444857
156	0.9360544218	0.1955906549
157	0.9360544218	0.1950080924
158	0.9360544218	0.1941505059
159	0.937414966	0.1932715606
160	0.937414966	0.1926695711
161	0.9360544218	0.1920618772
162	0.9360544218	0.1917260013
163	0.9360544218	0.1913147584
164	0.9360544218	0.1911215218
165	0.9360544218	0.1905875733
166	0.9360544218	0.1899423975
167	0.9360544218	0.1895453883
168	0.9360544218	0.1891883747
169	0.9387755102	0.1883054874
170	0.9401360544	0.1879466726
171	0.9387755102	0.1874579018
172	0.9387755102	0.1870779433
173	0.9401360544	0.1864029198
174	0.9414965986	0.185588218
175	0.9414965986	0.1854754934
176	0.9414965986	0.1853135757
177	0.9414965986	0.1851160068
178	0.9414965986	0.1848575382
179	0.9414965986	0.1844946031
180	0.9414965986	0.1835668191
181	0.9414965986	0.1829480407
182	0.9414965986	0.1828843339
183	0.9414965986	0.1827135973
184	0.9414965986	0.1819929178
185	0.9414965986	0.1815513065
