iter	Passed	Remaining
0	2	1200
1	4	1147
2	6	1094
3	8	1071
4	10	1046
5	12	1044
6	14	994
7	15	979
8	18	993
9	20	993
10	22	1005
11	24	991
12	26	981
13	28	990
14	30	999
15	33	1005
16	35	1010
17	37	1007
18	40	1014
19	42	1019
20	44	1022
21	46	1006
22	48	1004
23	50	996
24	51	984
25	54	985
26	56	988
27	58	990
28	61	991
29	63	992
30	65	992
31	67	993
32	70	996
33	72	997
34	75	997
35	76	987
36	79	989
37	81	992
38	84	996
39	86	1000
40	88	991
41	90	991
42	93	992
43	95	992
44	98	993
45	100	993
46	103	993
47	105	992
48	107	991
49	110	990
50	112	991
51	115	991
52	117	990
53	119	989
54	122	989
55	124	988
56	127	992
57	131	999
58	134	1004
59	137	1006
60	140	1010
61	143	1015
62	146	1016
63	148	1013
64	151	1011
65	153	1008
66	155	1007
67	158	1005
68	160	1004
69	163	1005
70	166	1008
71	170	1010
72	173	1013
73	175	1010
74	178	1008
75	180	1008
76	184	1010
77	186	1007
78	189	1008
79	192	1008
80	195	1010
81	199	1014
82	202	1016
83	204	1014
84	207	1011
85	209	1009
86	212	1008
87	215	1007
88	217	1005
89	220	1002
90	222	999
91	224	996
92	227	994
93	229	992
94	232	989
95	234	987
96	237	986
97	240	986
98	243	987
99	246	987
100	249	985
101	252	983
102	254	980
103	257	979
104	259	975
105	262	975
106	264	973
107	267	970
108	269	967
109	272	965
110	274	961
111	276	958
112	278	955
113	281	952
114	283	949
115	286	947
116	289	947
117	292	947
118	295	946
119	298	944
120	301	944
121	304	943
122	307	942
123	310	940
124	312	937
125	315	936
126	318	934
127	320	931
128	322	928
129	325	925
130	326	920
131	328	917
132	331	914
133	333	911
134	336	908
135	338	905
136	340	903
137	343	900
138	345	897
139	347	894
140	350	891
141	352	888
142	354	885
143	357	883
144	359	880
145	362	878
146	364	875
147	367	873
148	370	872
149	373	870
150	375	868
151	378	866
152	380	863
153	382	859
154	384	855
155	386	852
156	389	850
157	391	848
158	394	845
159	396	841
160	398	838
161	400	835
162	402	832
163	404	829
164	406	825
165	408	821
166	410	818
167	412	814
168	414	810
169	415	807
170	418	804
171	420	801
172	422	797
173	423	794
174	425	790
175	427	786
176	429	784
177	431	781
178	434	778
179	436	775
180	438	772
181	440	770
182	442	766
183	444	763
184	446	760
185	448	757
186	450	754
187	452	751
188	454	747
189	456	744
190	458	742
191	460	739
192	462	735
193	464	732
194	466	729
195	468	726
196	470	723
197	472	720
198	474	718
199	476	715
200	479	712
201	481	709
202	483	707
203	485	704
204	486	700
205	488	697
206	490	694
207	492	691
208	494	688
209	496	685
210	498	682
211	500	679
212	502	676
213	504	673
214	506	670
215	507	667
216	509	664
217	511	661
218	513	658
219	515	655
220	516	652
221	519	650
222	522	648
223	524	646
224	526	643
225	528	640
226	530	637
227	531	634
228	533	631
229	535	628
230	537	625
231	539	622
232	541	620
233	542	617
234	544	614
235	546	611
236	548	608
237	550	606
238	552	603
239	554	600
240	556	597
241	557	594
242	560	592
243	562	589
244	564	587
245	566	584
246	568	581
247	570	579
248	572	576
249	574	574
250	575	571
251	577	568
252	579	565
253	581	563
254	583	560
255	585	557
256	587	555
257	588	552
258	590	549
259	592	547
260	594	544
261	596	541
262	597	538
263	599	535
264	601	533
265	604	531
266	608	531
267	612	530
268	615	528
269	617	526
270	620	524
271	622	521
272	624	519
273	626	516
274	628	514
275	630	512
276	632	509
277	635	507
278	637	504
279	639	502
280	641	499
281	643	497
282	645	494
283	647	492
284	650	490
285	653	488
286	655	486
287	657	483
288	659	481
289	661	479
290	663	476
291	665	474
292	667	471
293	669	469
294	671	466
295	673	464
296	676	462
297	678	459
298	680	457
299	682	454
300	684	452
301	686	450
302	688	447
303	690	445
304	692	442
305	694	440
306	696	437
307	698	435
308	700	432
309	702	430
310	704	428
311	706	425
312	707	422
313	709	420
314	711	417
315	713	415
316	715	412
317	717	410
318	719	407
319	720	405
320	722	402
321	724	400
322	725	397
323	727	395
324	729	392
325	731	390
326	733	387
327	734	385
328	736	383
329	738	380
330	740	378
331	743	376
332	745	373
333	747	371
334	749	369
335	751	366
336	753	364
337	755	362
338	757	359
339	759	357
340	761	355
341	763	352
342	765	350
343	767	348
344	769	345
345	771	343
346	773	341
347	776	339
348	778	336
349	781	334
350	783	332
351	785	330
352	787	327
353	789	325
354	791	323
355	793	321
356	795	318
357	797	316
358	799	314
359	801	311
360	803	309
361	806	307
362	808	305
363	810	302
364	812	300
365	814	298
366	816	295
367	818	293
368	821	291
369	823	289
370	825	287
371	827	284
372	829	282
373	831	280
374	834	278
375	836	275
376	838	273
377	840	271
378	842	268
379	844	266
380	846	264
381	848	262
382	850	259
383	852	257
384	855	255
385	857	253
386	859	250
387	861	248
388	863	246
389	865	244
390	867	241
391	869	239
392	871	237
393	873	235
394	875	232
395	877	230
396	879	228
397	881	226
398	883	223
399	885	221
400	887	219
401	889	216
402	892	214
403	894	212
404	896	210
405	898	208
406	900	205
407	902	203
408	904	201
409	908	199
410	911	197
411	913	195
412	915	192
413	917	190
414	920	188
415	922	186
416	924	184
417	926	181
418	929	179
419	931	177
420	933	175
421	936	173
422	938	170
423	940	168
424	942	166
425	945	164
426	948	162
427	950	159
428	952	157
429	954	155
430	956	153
431	958	150
432	961	148
433	963	146
434	965	144
435	968	142
436	970	139
437	972	137
438	975	135
439	977	133
440	980	131
441	982	128
442	985	126
443	987	124
444	989	122
445	991	120
446	993	117
447	996	115
448	998	113
449	1000	111
450	1003	108
451	1005	106
452	1007	104
453	1009	102
454	1012	100
455	1014	97
456	1016	95
457	1018	93
458	1020	91
459	1022	88
460	1024	86
461	1026	84
462	1028	82
463	1030	79
464	1032	77
465	1035	75
466	1037	73
467	1040	71
468	1042	68
469	1044	66
470	1047	64
471	1049	62
472	1051	60
473	1053	57
474	1055	55
475	1057	53
476	1059	51
477	1061	48
478	1063	46
479	1065	44
480	1067	42
481	1069	39
482	1072	37
483	1074	35
484	1077	33
485	1079	31
486	1082	28
487	1085	26
488	1087	24
489	1089	22
490	1091	20
491	1093	17
492	1095	15
493	1097	13
494	1099	11
495	1101	8
496	1103	6
497	1105	4
498	1108	2
499	1110	0
