iter	Passed	Remaining
0	2	1407
1	6	1496
2	8	1426
3	11	1386
4	13	1368
5	16	1357
6	18	1293
7	20	1270
8	23	1270
9	25	1255
10	28	1251
11	30	1225
12	32	1205
13	35	1215
14	37	1214
15	40	1211
16	42	1208
17	44	1202
18	47	1201
19	49	1199
20	52	1197
21	53	1171
22	56	1168
23	58	1158
24	60	1146
25	62	1145
26	65	1143
27	67	1142
28	70	1142
29	72	1141
30	75	1140
31	77	1139
32	80	1137
33	82	1135
34	85	1133
35	86	1120
36	89	1124
37	92	1121
38	94	1117
39	96	1114
40	98	1099
41	100	1095
42	102	1093
43	105	1090
44	107	1086
45	109	1083
46	112	1079
47	114	1076
48	116	1073
49	119	1071
50	121	1067
51	123	1064
52	125	1061
53	128	1059
54	130	1056
55	133	1056
56	135	1055
57	138	1052
58	140	1050
59	142	1047
60	145	1044
61	147	1042
62	149	1040
63	152	1036
64	154	1034
65	156	1031
66	159	1028
67	161	1026
68	163	1023
69	166	1020
70	168	1018
71	170	1015
72	173	1013
73	175	1011
74	178	1008
75	180	1005
76	182	1003
77	183	994
78	186	992
79	188	991
80	191	989
81	193	987
82	195	984
83	198	982
84	200	979
85	202	977
86	205	974
87	207	971
88	209	969
89	212	966
90	214	964
91	216	961
92	219	959
93	221	956
94	223	953
95	226	951
96	228	948
97	230	947
98	233	945
99	235	942
100	237	939
101	240	937
102	242	934
103	244	932
104	246	928
105	249	926
106	251	923
107	253	921
108	256	918
109	258	916
110	260	912
111	262	910
112	265	907
113	267	905
114	269	902
115	271	900
116	274	897
117	276	895
118	278	892
119	281	890
120	283	887
121	285	885
122	288	883
123	290	881
124	292	878
125	295	876
126	297	874
127	299	871
128	302	869
129	304	867
130	306	864
131	308	860
132	310	857
133	313	855
134	315	853
135	317	850
136	320	848
137	322	845
138	324	843
139	327	841
140	329	838
141	331	836
142	334	833
143	336	831
144	338	829
145	340	826
146	343	824
147	345	822
148	348	821
149	351	819
150	354	818
151	357	817
152	360	817
153	362	815
154	365	812
155	367	810
156	369	807
157	372	805
158	374	803
159	376	800
160	379	798
161	381	796
162	383	793
163	386	791
164	388	788
165	390	786
166	393	784
167	395	781
168	397	779
169	400	776
170	402	774
171	404	771
172	407	769
173	409	766
174	411	764
175	413	761
176	416	759
177	418	757
178	420	754
179	423	752
180	425	749
181	427	747
182	429	743
183	431	741
184	433	738
185	436	736
186	438	734
187	441	732
188	443	730
189	446	728
190	448	726
191	451	724
192	454	722
193	456	719
194	458	717
195	461	715
196	463	712
197	465	710
198	468	708
199	470	705
200	472	703
201	475	701
202	477	698
203	479	696
204	481	693
205	484	691
206	486	689
207	489	687
208	492	685
209	494	683
210	497	681
211	499	679
212	502	676
213	504	674
214	506	671
215	509	669
216	511	666
217	513	664
218	515	662
219	518	659
220	519	656
221	522	654
222	524	651
223	526	649
224	529	646
225	531	644
226	533	641
227	536	639
228	538	637
229	541	635
230	543	633
231	546	631
232	548	628
233	550	626
234	553	623
235	555	621
236	557	618
237	559	616
238	562	614
239	564	611
240	566	609
241	569	606
242	571	604
243	573	601
244	576	599
245	578	597
246	580	594
247	583	592
248	585	590
249	588	588
250	590	586
251	593	583
252	596	581
253	598	579
254	600	577
255	602	574
256	606	572
257	608	571
258	611	568
259	613	566
260	616	564
261	619	562
262	620	559
263	623	557
264	626	555
265	628	552
266	631	550
267	634	548
268	636	546
269	639	544
270	642	542
271	644	540
272	647	538
273	650	536
274	653	534
275	655	532
276	658	529
277	660	527
278	662	525
279	665	522
280	667	520
281	670	518
282	672	515
283	675	513
284	677	511
285	680	508
286	682	506
287	685	504
288	687	502
289	690	500
290	693	497
291	696	495
292	698	493
293	701	491
294	703	489
295	706	486
296	708	484
297	710	481
298	713	479
299	715	477
300	718	474
301	720	472
302	722	469
303	725	467
304	727	465
305	729	462
306	732	460
307	735	458
308	738	456
309	741	454
310	743	451
311	746	449
312	748	447
313	751	445
314	754	442
315	756	440
316	758	437
317	760	435
318	763	433
319	765	430
320	767	427
321	769	425
322	771	422
323	774	420
324	776	418
325	778	415
326	780	413
327	782	410
328	785	408
329	787	405
330	789	403
331	792	400
332	794	398
333	796	396
334	799	393
335	801	391
336	803	388
337	806	386
338	808	383
339	810	381
340	812	379
341	815	376
342	817	374
343	820	371
344	822	369
345	824	367
346	826	364
347	829	362
348	831	359
349	833	357
350	836	354
351	838	352
352	840	350
353	842	347
354	845	345
355	847	342
356	850	340
357	852	338
358	854	335
359	857	333
360	859	330
361	861	328
362	864	326
363	867	323
364	869	321
365	871	319
366	873	316
367	876	314
368	878	312
369	881	309
370	883	307
371	885	304
372	888	302
373	890	300
374	892	297
375	895	295
376	897	292
377	899	290
378	902	288
379	904	285
380	906	283
381	909	280
382	911	278
383	913	276
384	916	273
385	918	271
386	920	268
387	923	266
388	925	264
389	927	261
390	930	259
391	932	256
392	934	254
393	937	252
394	939	249
395	942	247
396	944	245
397	947	242
398	950	240
399	952	238
400	954	235
401	957	233
402	959	230
403	961	228
404	964	226
405	966	223
406	968	221
407	971	218
408	973	216
409	975	214
410	977	211
411	980	209
412	982	207
413	985	204
414	987	202
415	989	199
416	992	197
417	994	195
418	996	192
419	998	190
420	1001	187
421	1003	185
422	1005	183
423	1008	180
424	1010	178
425	1012	175
426	1015	173
427	1017	171
428	1019	168
429	1022	166
430	1024	164
431	1026	161
432	1029	159
433	1031	156
434	1033	154
435	1036	152
436	1038	149
437	1040	147
438	1043	144
439	1045	142
440	1047	140
441	1050	137
442	1052	135
443	1054	133
444	1057	130
445	1059	128
446	1061	125
447	1064	123
448	1066	121
449	1068	118
450	1070	116
451	1073	113
452	1075	111
453	1078	109
454	1080	106
455	1082	104
456	1085	102
457	1087	99
458	1089	97
459	1091	94
460	1094	92
461	1096	90
462	1098	87
463	1101	85
464	1103	83
465	1105	80
466	1108	78
467	1111	76
468	1114	73
469	1116	71
470	1118	68
471	1121	66
472	1123	64
473	1125	61
474	1128	59
475	1130	57
476	1133	54
477	1135	52
478	1138	49
479	1140	47
480	1143	45
481	1146	42
482	1148	40
483	1150	38
484	1153	35
485	1155	33
486	1157	30
487	1159	28
488	1162	26
489	1164	23
490	1167	21
491	1169	19
492	1171	16
493	1173	14
494	1176	11
495	1178	9
496	1180	7
497	1183	4
498	1185	2
499	1187	0
